id;url;red;blue;date
1226571776;https://replay.thehax.pl/2a4defee-6e29-45e2-90ab-a9296fdcb4e0;0;0;2024/0/1 3:28
1793851392;https://replay.thehax.pl/6d6d303c-3e49-47b0-9ac2-7d8d92698e45;0;1;2024/0/1 3:29
-1002176512;https://replay.thehax.pl/d86130b2-8d9e-43f4-934d-d73beec7936a;0;0;2024/0/1 3:29
623247360;https://replay.thehax.pl/d3298db1-a3a1-44a3-b67d-8d0de74ddd74;4;3;2024/0/1 3:32
-1820721152;https://replay.thehax.pl/b88678d5-3d2c-4ee8-bc56-ee59bc6a57ee;3;1;2024/0/1 3:34
-1199702016;https://replay.thehax.pl/30198591-475e-49f7-aaef-00a6f1dd44d7;0;1;2024/0/1 3:34
1065222144;https://replay.thehax.pl/bd458267-2a8f-437b-83ae-82bab5f57aac;1;0;2024/0/1 3:36
85196800;https://replay.thehax.pl/45e260a5-838e-48f7-898b-3ee3a5145b0b;9;1;2024/0/1 3:41
1430126592;https://replay.thehax.pl/dfe52807-160b-4381-90a9-4193c699222b;3;0;2024/0/1 3:42
-1860567040;https://replay.thehax.pl/e831fda9-1009-4766-a219-3e999b7c4f5a;0;2;2024/0/1 3:43
-1032978432;https://replay.thehax.pl/60c5e7ac-57a1-4450-84e7-3bfa69bb23f1;2;5;2024/0/1 3:47
1332215808;https://replay.thehax.pl/fec45978-f703-41ea-a9f2-16a0e2b53214;3;5;2024/0/1 3:50
-1768030208;https://replay.thehax.pl/adf16f4e-0e0e-4142-b472-6a4507389740;1;1;2024/0/4 19:27
398196736;https://replay.thehax.pl/57d2cf89-db07-4bf1-9289-ec2de243d2f2;3;5;2024/0/4 19:32
-361627648;https://replay.thehax.pl/1835fde7-6067-43fe-91f2-6d7f9215e6ad;3;2;2024/0/4 19:34
183762944;https://replay.thehax.pl/991147c3-a302-4fb0-88d1-5bf95a1b2759;1;1;2024/0/4 19:36
-947781632;https://replay.thehax.pl/33a6a1eb-b46a-4293-892f-b0b704f9f14c;0;1;2024/0/4 19:36
-1716256768;https://replay.thehax.pl/94f9dc11-ad62-4920-9edc-81fc54ae5fff;4;0;2024/0/4 19:38
-1512964096;https://replay.thehax.pl/90791499-368b-4757-bc06-9dd69bdfdca3;0;0;2024/0/4 19:39
-15466496;https://replay.thehax.pl/f19e2738-aad3-43d1-a264-f88b2e062686;0;0;2024/0/4 19:40
-17170432;https://replay.thehax.pl/3de27789-3ab7-47ef-bb47-7a93996766fb;0;0;2024/0/4 19:40
1823735808;https://replay.thehax.pl/037a032e-25c0-4397-a86c-d6e40d720343;0;0;2024/0/4 19:40
1824260096;https://replay.thehax.pl/becfadf8-7255-4e13-b67e-9a714e8834a3;0;0;2024/0/4 19:40
1822818304;https://replay.thehax.pl/f1c27065-8f8e-4821-b47b-c53d1a414ded;0;0;2024/0/4 19:40
-1701576704;https://replay.thehax.pl/937f8d3b-fbc7-4f97-a2f2-6aa0119b8249;0;0;2024/0/4 19:40
-1458438144;https://replay.thehax.pl/1b9b54fb-b625-440c-b6f9-c90c3cef34c7;0;0;2024/0/4 19:40
29753344;https://replay.thehax.pl/8a71819f-e037-409f-8d28-f9f773a0152a;5;2;2024/0/4 19:41
1258029056;https://replay.thehax.pl/5e88fead-d407-46ea-87fe-646657b32b5c;0;1;2024/0/4 19:41
114556928;https://replay.thehax.pl/db31905f-c75f-4854-897d-09b8f4c271d3;4;2;2024/0/4 19:45
-1097596928;https://replay.thehax.pl/bfd59546-2ff4-430b-a10e-a3aadb341dbe;9;10;2024/0/4 19:51
345505792;https://replay.thehax.pl/4c98df3c-1080-4048-b243-3134c148e04a;1;1;2024/0/4 19:53
-1558839296;https://replay.thehax.pl/93f5517f-e777-4f06-a63b-6a01085ce66d;1;0;2024/0/4 19:53
-1888223232;https://replay.thehax.pl/f221f6a1-e2e5-4f51-9b57-7a1e035527ae;0;0;2024/0/4 19:53
-1889140736;https://replay.thehax.pl/a961a76f-f6ca-46f2-91dd-bd6b9d9e3d41;0;0;2024/0/4 19:53
-1425145856;https://replay.thehax.pl/acf35430-1772-4c64-afed-3f9bb0f75131;0;0;2024/0/4 19:55
113508352;https://replay.thehax.pl/4c5cf438-c86d-4de5-b819-f04602c4714c;0;0;2024/0/4 19:55
1787035648;https://replay.thehax.pl/42c0a05a-9409-435c-9fd9-2ec45bcfc45a;2;5;2024/0/4 19:59
